source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
PNSrepl4	Hansenula polymorpha vector pam619	Not available	1	PNSrepl4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	PNSrepl4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
PMEMrepl5	Hansenula polymorpha vector pam619	Not available	1	PMEMrepl5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	PMEMrepl5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
PNSrepl2	Hansenula polymorpha vector pam619	Not available	1	PNSrepl2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	PNSrepl2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
PMEMrepl2	Hansenula polymorpha vector pam619	Not available	1	PMEMrepl2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	PMEMrepl2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
PMEMrepl4	Hansenula polymorpha vector pam619	Not available	1	PMEMrepl4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	PMEMrepl4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
PMEMrepl3	Hansenula polymorpha vector pam619	Not available	1	PMEMrepl3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	PMEMrepl3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
PNSrep1	Hansenula polymorpha vector pam619	Not available	1	PNSrep1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	PNSrep1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
PMEMrepl1	Hansenula polymorpha vector pam619	Not available	1	PMEMrepl1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	PMEMrepl1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
PNSrepl5	Hansenula polymorpha vector pam619	Not available	1	PNSrepl5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	PNSrepl5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
PNSrepl3	Hansenula polymorpha vector pam619	Not available	1	PNSrepl3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	1	PNSrepl3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
