source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
ECBC_PC_RatVX_8TMT_TiO2_bRP_9	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	9	ECBC_PC_RatVX_8TMT_TiO2_bRP_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	1	1	ECBC_PC_RatVX_8TMT_TiO2_bRP_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001184/ECBC_PC_RatVX_8TMT_TiO2_bRP_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
ECBC_PC_RatVX_8TMT_TiO2_bRP_3	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	3	ECBC_PC_RatVX_8TMT_TiO2_bRP_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	1	1	ECBC_PC_RatVX_8TMT_TiO2_bRP_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001184/ECBC_PC_RatVX_8TMT_TiO2_bRP_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
ECBC_PC_RatVX_8TMT_TiO2_bRP_6	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	6	ECBC_PC_RatVX_8TMT_TiO2_bRP_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	1	1	ECBC_PC_RatVX_8TMT_TiO2_bRP_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001184/ECBC_PC_RatVX_8TMT_TiO2_bRP_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
ECBC_PC_RatVX_8TMT_TiO2_bRP_8	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	8	ECBC_PC_RatVX_8TMT_TiO2_bRP_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	1	1	ECBC_PC_RatVX_8TMT_TiO2_bRP_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001184/ECBC_PC_RatVX_8TMT_TiO2_bRP_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
ECBC_PC_RatVX_8TMT_TiO2_bRP_11	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	11	ECBC_PC_RatVX_8TMT_TiO2_bRP_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	1	1	ECBC_PC_RatVX_8TMT_TiO2_bRP_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001184/ECBC_PC_RatVX_8TMT_TiO2_bRP_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
ECBC_PC_RatVX_8TMT_TiO2_bRP_4	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	4	ECBC_PC_RatVX_8TMT_TiO2_bRP_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	1	1	ECBC_PC_RatVX_8TMT_TiO2_bRP_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001184/ECBC_PC_RatVX_8TMT_TiO2_bRP_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
ECBC_PC_RatVX_8TMT_TiO2_bRP_5	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	5	ECBC_PC_RatVX_8TMT_TiO2_bRP_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	1	1	ECBC_PC_RatVX_8TMT_TiO2_bRP_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001184/ECBC_PC_RatVX_8TMT_TiO2_bRP_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
ECBC_PC_RatVX_8TMT_TiO2_bRP_7	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	7	ECBC_PC_RatVX_8TMT_TiO2_bRP_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	1	1	ECBC_PC_RatVX_8TMT_TiO2_bRP_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001184/ECBC_PC_RatVX_8TMT_TiO2_bRP_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
ECBC_PC_RatVX_8TMT_TiO2_bRP_10	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	10	ECBC_PC_RatVX_8TMT_TiO2_bRP_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	1	1	ECBC_PC_RatVX_8TMT_TiO2_bRP_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001184/ECBC_PC_RatVX_8TMT_TiO2_bRP_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
ECBC_PC_RatVX_8TMT_TiO2_bRP_2	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	2	ECBC_PC_RatVX_8TMT_TiO2_bRP_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	1	1	ECBC_PC_RatVX_8TMT_TiO2_bRP_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001184/ECBC_PC_RatVX_8TMT_TiO2_bRP_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	brain
