source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr16b	Homo sapiens	Cell culture	not applicable	not available	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr16b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr16b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr16b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr5	Homo sapiens	Cell culture	not applicable	not available	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr24	Homo sapiens	Cell culture	not applicable	not available	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr2	Homo sapiens	Cell culture	not applicable	not available	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR8_130620_13EDEG004_9dIP_2	Homo sapiens	Cell culture	not applicable	not available	1	OR8_130620_13EDEG004_9dIP_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR8_130620_13EDEG004_9dIP_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR8_130620_13EDEG004_9dIP_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR5_111012_EDG_11EDEG011_Ti-IMAC_fr4	Homo sapiens	Cell culture	not applicable	not available	1	OR5_111012_EDG_11EDEG011_Ti-IMAC_fr4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR5_111012_EDG_11EDEG011_Ti-IMAC_fr4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR5_111012_EDG_11EDEG011_Ti-IMAC_fr4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR3_110628_EDG_reIP_pTyr_9d	Homo sapiens	Cell culture	not applicable	not available	1	OR3_110628_EDG_reIP_pTyr_9d	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR3_110628_EDG_reIP_pTyr_9d.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR3_110628_EDG_reIP_pTyr_9d.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr5	Homo sapiens	Cell culture	not applicable	not available	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR5_111012_EDG_11EDEG011_Ti-IMAC_fr9	Homo sapiens	Cell culture	not applicable	not available	1	OR5_111012_EDG_11EDEG011_Ti-IMAC_fr9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR5_111012_EDG_11EDEG011_Ti-IMAC_fr9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR5_111012_EDG_11EDEG011_Ti-IMAC_fr9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr3	Homo sapiens	Cell culture	not applicable	not available	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr1	Homo sapiens	Cell culture	not applicable	not available	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr13	Homo sapiens	Cell culture	not applicable	not available	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr22	Homo sapiens	Cell culture	not applicable	not available	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr26	Homo sapiens	Cell culture	not applicable	not available	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr26.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr15	Homo sapiens	Cell culture	not applicable	not available	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
