source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20121025_RENVOISE_rep3F11	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep3F11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20121025_RENVOISE_rep3F11.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep3F11.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep3F03	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep3F03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20121025_RENVOISE_rep3F03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep3F03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep2F2	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep2F2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20120524_Renvoise_Triplex_rep2F2.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep2F2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep1F3	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep1F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20120524_Renvoise_Triplex_rep1F3.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep1F3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep4F08	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep4F08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20121025_RENVOISE_rep4F08.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep4F08.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep3F02	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep3F02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20121025_RENVOISE_rep3F02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep3F02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep4F12	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep4F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20121025_RENVOISE_rep4F12.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep4F12.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep1F2	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep1F2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20120524_Renvoise_Triplex_rep1F2.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep1F2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep1F5	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep1F5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20120524_Renvoise_Triplex_rep1F5.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep1F5.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep4F07	Saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep4F07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20121025_RENVOISE_rep4F07.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep4F07.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
