source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
PXD038417-Sample-1	Homo sapiens	heart	regular cardiac myocyte	noonan syndrome	1	20211123_Exp_AW_DZHKe_10_Sb1_c71_03V_6ul	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20211123_Exp_AW_DZHKe_10_Sb1_c71_03V_6ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	noonan syndrome
PXD038417-Sample-2	Homo sapiens	heart	regular cardiac myocyte	noonan syndrome	1	20211123_Exp_AW_DZHKe_11_Sb1_c71_04V	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20211123_Exp_AW_DZHKe_11_Sb1_c71_04V.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	noonan syndrome
PXD038417-Sample-3	Homo sapiens	heart	regular cardiac myocyte	noonan syndrome	1	20211123_Exp_AW_DZHKe_12_Sb1_c71_09V	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20211123_Exp_AW_DZHKe_12_Sb1_c71_09V.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	noonan syndrome
PXD038417-Sample-4	Homo sapiens	heart	regular cardiac myocyte	noonan syndrome	1	20211123_Exp_AW_DZHKe_13_Sf12_04V_6ul	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20211123_Exp_AW_DZHKe_13_Sf12_04V_6ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	noonan syndrome
PXD038417-Sample-5	Homo sapiens	heart	regular cardiac myocyte	noonan syndrome	1	20211123_Exp_AW_DZHKe_14_Sf12_05V	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20211123_Exp_AW_DZHKe_14_Sf12_05V.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	noonan syndrome
PXD038417-Sample-6	Homo sapiens	heart	regular cardiac myocyte	noonan syndrome	1	20211123_Exp_AW_DZHKe_15_Sf12_03V	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20211123_Exp_AW_DZHKe_15_Sf12_03V.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	noonan syndrome
PXD038417-Sample-7	Homo sapiens	heart	regular cardiac myocyte	noonan syndrome	1	20211123_Exp_AW_DZHKe_18_Sf1_cD1_06V_6ul	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20211123_Exp_AW_DZHKe_18_Sf1_cD1_06V_6ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	noonan syndrome
PXD038417-Sample-8	Homo sapiens	heart	regular cardiac myocyte	noonan syndrome	1	20211123_Exp_AW_DZHKe_19_Sf1_cD1_08V_5ul	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20211123_Exp_AW_DZHKe_19_Sf1_cD1_08V_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	noonan syndrome
PXD038417-Sample-9	Homo sapiens	heart	regular cardiac myocyte	noonan syndrome	1	20211123_Exp_AW_DZHKe_1_Sb15_07V_6ul	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20211123_Exp_AW_DZHKe_1_Sb15_07V_6ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	noonan syndrome
PXD038417-Sample-10	Homo sapiens	heart	regular cardiac myocyte	noonan syndrome	1	20211123_Exp_AW_DZHKe_20_Sf1_cD1_09V_6ul	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	20211123_Exp_AW_DZHKe_20_Sf1_cD1_09V_6ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	noonan syndrome
