source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
AzMyr1	Trypanosoma cruzi	Not available	1	AzMyr1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	1	AzMyr1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
Control3	Trypanosoma cruzi	Not available	1	Control3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	1	Control3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
SILAC-IP2	Trypanosoma cruzi	Not available	1	SILAC-IP2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	1	SILAC-IP2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
Control2	Trypanosoma cruzi	Not available	1	Control2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	1	Control2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
Polymyxin-Silac-1	Trypanosoma cruzi	Not available	1	Polymyxin-Silac-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	1	Polymyxin-Silac-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
Control1	Trypanosoma cruzi	Not available	1	Control1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	1	Control1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
AR-Expt3-1	Trypanosoma cruzi	Not available	1	AR-Expt3-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	1	AR-Expt3-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
AzMyr2	Trypanosoma cruzi	Not available	1	AzMyr2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	1	AzMyr2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
AR-Expt3-2	Trypanosoma cruzi	Not available	1	AR-Expt3-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	1	AR-Expt3-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
AzMyr3	Trypanosoma cruzi	Not available	1	AzMyr3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	1	AzMyr3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
SILAC-IP1	Trypanosoma cruzi	Not available	1	SILAC-IP1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	1	SILAC-IP1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
Polymyxin-Silac-2	Trypanosoma cruzi	Not available	1	Polymyxin-Silac-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	1	Polymyxin-Silac-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Not available
