source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[material type]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[file uri]	factor value[organism part]
Sample 1	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	1	not available	run 1	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	1	S1_LF48_oilbase	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 2	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	2	not available	run 2	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	2	S2_LF48_oilbase	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 3	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	3	not available	run 3	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	3	S3_LF48_oilbase	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 4	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	4	not available	run 4	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	4	S4_LF48_oilbase	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 5	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	5	not available	run 5	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	5	S5_LF48_oilbase	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 6	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	6	not available	run 6	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	6	S6_LF48_oilbase	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 7	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	7	not available	run 7	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	7	S7_LF48_oilbase	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 8	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	8	not available	run 8	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	8	S8_LF48_oilbase	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 9	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	9	not available	run 9	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	9	S9_LF48_oilbase	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 10	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	10	not available	run 10	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	10	S10_LF48_oilbase	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
