source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[strain or breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
PXD035712-Sample-1	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035712-Individual-1	tissue	1	Failing/hypertrophic mouse heart 4 weeks after transaortic (transverse aortic) constriction, i.e	not available	040522_0358_2_Tac_2h_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	040522_0358_2_Tac_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TAC
PXD035712-Sample-1	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035712-Individual-1	tissue	1	Failing/hypertrophic mouse heart 4 weeks after transaortic (transverse aortic) constriction, i.e	not available	040522_0358_2_Tac_2h_2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	2	040522_0358_2_Tac_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TAC
PXD035712-Sample-2	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035712-Individual-2	tissue	2	Failing/hypertrophic mouse heart 4 weeks after transaortic (transverse aortic) constriction, i.e	not available	040522_0360_3_Tac_2h_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	040522_0360_3_Tac_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TAC
PXD035712-Sample-2	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035712-Individual-2	tissue	2	Failing/hypertrophic mouse heart 4 weeks after transaortic (transverse aortic) constriction, i.e	not available	040522_0360_3_Tac_2h_2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	2	040522_0360_3_Tac_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TAC
PXD035712-Sample-3	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035712-Individual-3	tissue	3	Failing/hypertrophic mouse heart 4 weeks after transaortic (transverse aortic) constriction, i.e	not available	040522_0387_6_Tac_2h_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	040522_0387_6_Tac_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TAC
PXD035712-Sample-3	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035712-Individual-3	tissue	3	Failing/hypertrophic mouse heart 4 weeks after transaortic (transverse aortic) constriction, i.e	not available	040522_0387_6_Tac_2h_2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	2	040522_0387_6_Tac_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TAC
PXD035712-Sample-4	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035712-Individual-4	tissue	4	Failing/hypertrophic mouse heart 4 weeks after transaortic (transverse aortic) constriction, i.e	not available	040522_0366_8_Tac_2h_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	040522_0366_8_Tac_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TAC
PXD035712-Sample-4	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035712-Individual-4	tissue	4	Failing/hypertrophic mouse heart 4 weeks after transaortic (transverse aortic) constriction, i.e	not available	040522_0366_8_Tac_2h_2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	2	040522_0366_8_Tac_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TAC
PXD035712-Sample-5	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035712-Individual-5	tissue	5	Failing/hypertrophic mouse heart 4 weeks after transaortic (transverse aortic) constriction, i.e	not available	040522_0376_10_Tac_2h_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	040522_0376_10_Tac_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TAC
PXD035712-Sample-5	Mus musculus	heart	not applicable	heart failure	not available	not available	not available	not available	PXD035712-Individual-5	tissue	5	Failing/hypertrophic mouse heart 4 weeks after transaortic (transverse aortic) constriction, i.e	not available	040522_0376_10_Tac_2h_2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	2	040522_0376_10_Tac_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TAC
