source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20121115_KJ_PC_TOV21_1_S03_4_5_6	Homo sapiens	Permanent cell line cell	hek293t	Malignant neoplasm of ovary	6	20121115_KJ_PC_TOV21_1_S03_4_5_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20121115_KJ_PC_TOV21_1_S03_4_5_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000901/20121115_KJ_PC_TOV21_1_S03_4_5_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
20121207_FJ_PC_OVSAYO_2_P06	Homo sapiens	Permanent cell line cell	hek293t	Malignant neoplasm of ovary	1	20121207_FJ_PC_OVSAYO_2_P06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20121207_FJ_PC_OVSAYO_2_P06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000901/20121207_FJ_PC_OVSAYO_2_P06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
20130325_KMJ_PC_OVISE_3_SAX2	Homo sapiens	Permanent cell line cell	hek293t	Malignant neoplasm of ovary	1	20130325_KMJ_PC_OVISE_3_SAX2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20130325_KMJ_PC_OVISE_3_SAX2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000901/20130325_KMJ_PC_OVISE_3_SAX2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
20130313_KMJ_PC_OVAS_1_P5	Homo sapiens	Permanent cell line cell	hek293t	Malignant neoplasm of ovary	1	20130313_KMJ_PC_OVAS_1_P5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20130313_KMJ_PC_OVAS_1_P5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000901/20130313_KMJ_PC_OVAS_1_P5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
20121124_FJ_PC_ES2_3_P03	Homo sapiens	Permanent cell line cell	hek293t	Malignant neoplasm of ovary	1	20121124_FJ_PC_ES2_3_P03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20121124_FJ_PC_ES2_3_P03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000901/20121124_FJ_PC_ES2_3_P03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
20121209_KMJ_PC_OVAS_2_S02_12	Homo sapiens	Permanent cell line cell	hek293t	Malignant neoplasm of ovary	12	20121209_KMJ_PC_OVAS_2_S02_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20121209_KMJ_PC_OVAS_2_S02_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000901/20121209_KMJ_PC_OVAS_2_S02_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
20121114_KJ_PC_KOC7C_3_S01	Homo sapiens	Permanent cell line cell	hek293t	Malignant neoplasm of ovary	1	20121114_KJ_PC_KOC7C_3_S01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20121114_KJ_PC_KOC7C_3_S01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000901/20121114_KJ_PC_KOC7C_3_S01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
20121110_KJ_PC_KOC7C_1_S09_10_11	Homo sapiens	Permanent cell line cell	hek293t	Malignant neoplasm of ovary	11	20121110_KJ_PC_KOC7C_1_S09_10_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20121110_KJ_PC_KOC7C_1_S09_10_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000901/20121110_KJ_PC_KOC7C_1_S09_10_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
20121119_KJ_PC_TOV21_3_S03_4_5_6	Homo sapiens	Permanent cell line cell	hek293t	Malignant neoplasm of ovary	6	20121119_KJ_PC_TOV21_3_S03_4_5_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20121119_KJ_PC_TOV21_3_S03_4_5_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000901/20121119_KJ_PC_TOV21_3_S03_4_5_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
20121122_FJ_PC_ES2_2_P03	Homo sapiens	Permanent cell line cell	hek293t	Malignant neoplasm of ovary	1	20121122_FJ_PC_ES2_2_P03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	20121122_FJ_PC_ES2_2_P03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000901/20121122_FJ_PC_ES2_2_P03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Permanent cell line cell
