source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
OR1_091109_HT_NAA14N2hoursSCX17	arabidopsis thaliana	not available	not applicable	not available	1	OR1_091109_HT_NAA14N2hoursSCX17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_091109_HT_NAA14N2hoursSCX17.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_091109_HT_NAA14N2hoursSCX17.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR1_091109_HT_NAA14N2hoursSCX10	arabidopsis thaliana	not available	not applicable	not available	1	OR1_091109_HT_NAA14N2hoursSCX10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_091109_HT_NAA14N2hoursSCX10.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_091109_HT_NAA14N2hoursSCX10.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR1_100208_HT_15N_NAA_SCX_16	arabidopsis thaliana	not available	not applicable	not available	16	OR1_100208_HT_15N_NAA_SCX_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_100208_HT_15N_NAA_SCX_16.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_100208_HT_15N_NAA_SCX_16.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR1_091109_HT_NAA14N2hoursSCX9	arabidopsis thaliana	not available	not applicable	not available	1	OR1_091109_HT_NAA14N2hoursSCX9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_091109_HT_NAA14N2hoursSCX9.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_091109_HT_NAA14N2hoursSCX9.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR2_100105_HT_NAA2hourSCX25	arabidopsis thaliana	not available	not applicable	not available	1	OR2_100105_HT_NAA2hourSCX25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR2_100105_HT_NAA2hourSCX25.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR2_100105_HT_NAA2hourSCX25.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR1_100215_HT_15N_NAA_SCX6	arabidopsis thaliana	not available	not applicable	not available	1	OR1_100215_HT_15N_NAA_SCX6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_100215_HT_15N_NAA_SCX6.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_100215_HT_15N_NAA_SCX6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR2_100129_HT_15N_NAA_SCX31	arabidopsis thaliana	not available	not applicable	not available	1	OR2_100129_HT_15N_NAA_SCX31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR2_100129_HT_15N_NAA_SCX31.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR2_100129_HT_15N_NAA_SCX31.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR1_091109_HT_NAA14N2hoursSCX29	arabidopsis thaliana	not available	not applicable	not available	1	OR1_091109_HT_NAA14N2hoursSCX29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_091109_HT_NAA14N2hoursSCX29.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_091109_HT_NAA14N2hoursSCX29.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR1_091109_HT_NAA14N2hoursSCX37	arabidopsis thaliana	not available	not applicable	not available	1	OR1_091109_HT_NAA14N2hoursSCX37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_091109_HT_NAA14N2hoursSCX37.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_091109_HT_NAA14N2hoursSCX37.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR1_100215_HT_15N_NAA_SCX13	arabidopsis thaliana	not available	not applicable	not available	1	OR1_100215_HT_15N_NAA_SCX13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_100215_HT_15N_NAA_SCX13.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_100215_HT_15N_NAA_SCX13.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
