source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
FIG_3_PREMIX_B_3	Mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	phosphopeptide enrichment (TiO2)	3	FIG_3_PREMIX_B_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	FIG_3_PREMIX_B_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_3_PREMIX_B_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_S3_3MG_TIIMAC_ELUTION_2	Mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	phosphopeptide enrichment (TiO2)	2	FIG_S3_3MG_TIIMAC_ELUTION_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	FIG_S3_3MG_TIIMAC_ELUTION_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_S3_3MG_TIIMAC_ELUTION_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_S3_1MG_TIIMAC_ELUTION_4	Mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	phosphopeptide enrichment (TiO2)	4	FIG_S3_1MG_TIIMAC_ELUTION_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	FIG_S3_1MG_TIIMAC_ELUTION_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_S3_1MG_TIIMAC_ELUTION_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG1C_TIIMAC_100UG_AUTO_3	Mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	phosphopeptide enrichment (TiO2)	3	FIG1C_TIIMAC_100UG_AUTO_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	FIG1C_TIIMAC_100UG_AUTO_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG1C_TIIMAC_100UG_AUTO_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG5_1_KRAS_WT_2	Mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	phosphopeptide enrichment (TiO2)	2	FIG5_1_KRAS_WT_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	FIG5_1_KRAS_WT_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG5_1_KRAS_WT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_S1B_GL_TIO2_B	Mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	phosphopeptide enrichment (TiO2)	1	FIG_S1B_GL_TIO2_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	FIG_S1B_GL_TIO2_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_S1B_GL_TIO2_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_3_POSTMIX_B_2	Mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	phosphopeptide enrichment (TiO2)	2	FIG_3_POSTMIX_B_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	FIG_3_POSTMIX_B_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_3_POSTMIX_B_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_4A_TIO2_DAY5_A	Mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	phosphopeptide enrichment (TiO2)	1	FIG_4A_TIO2_DAY5_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	FIG_4A_TIO2_DAY5_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_4A_TIO2_DAY5_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG5_2_KRAS_G12D_3	Mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	phosphopeptide enrichment (TiO2)	3	FIG5_2_KRAS_G12D_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	FIG5_2_KRAS_G12D_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG5_2_KRAS_G12D_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
FIG_S3_2MG_TIIMAC_ELUTION_1	Mus musculus	Pancreas	not applicable	Pancreatic ductal adenocarcinoma	phosphopeptide enrichment (TiO2)	1	FIG_S3_2MG_TIIMAC_ELUTION_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	FIG_S3_2MG_TIIMAC_ELUTION_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD000892/FIG_S3_2MG_TIIMAC_ELUTION_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Pancreas
