source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[developmental stage]	characteristics[material type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[immunopeptidome enrichment method]	characteristics[mhc protein complex]	characteristics[mhc typing]	characteristics[antibody enrichment]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[sample type]
WM3526_cell_rep1	Homo sapiens	skin	melanoma	WM3526	not available	not available	not available	not applicable	not available	cell line	untreated	1	immunoaffinity purification	MHC class I protein complex	not available	not available	WM3526_ClassI_cell_Rep1	proteomic profiling by mass spectrometry	TTU_YS_23939_2307_02042025_4-7-2025_4759.d.zip	1	NT=timsTOF;AC=MS:1003229	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	untreated	whole cell
WM3526_cell_rep2	Homo sapiens	skin	melanoma	WM3526	not available	not available	not available	not applicable	not available	cell line	untreated	2	immunoaffinity purification	MHC class I protein complex	not available	not available	WM3526_ClassI_cell_Rep2	proteomic profiling by mass spectrometry	TTU_YS_23939_2308_02042025_4-7-2025_4758.d.zip	1	NT=timsTOF;AC=MS:1003229	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	untreated	whole cell
WM3526_cell_rep3	Homo sapiens	skin	melanoma	WM3526	not available	not available	not available	not applicable	not available	cell line	untreated	3	immunoaffinity purification	MHC class I protein complex	not available	not available	WM3526_ClassI_cell_Rep3	proteomic profiling by mass spectrometry	TTU_YS_23939_2309_02042025_4-7-2025_4760.d.zip	1	NT=timsTOF;AC=MS:1003229	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	untreated	whole cell
WM3526_cell_IFNg_rep1	Homo sapiens	skin	melanoma	WM3526	not available	not available	not available	not applicable	not available	cell line	interferon gamma	1	immunoaffinity purification	MHC class I protein complex	not available	not available	WM3526_ClassI_cellIFNg_Rep1	proteomic profiling by mass spectrometry	TTU_YS_23939_2310_02042025_4-7-2025_4761.d.zip	1	NT=timsTOF;AC=MS:1003229	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	interferon gamma	whole cell
WM3526_cell_IFNg_rep2	Homo sapiens	skin	melanoma	WM3526	not available	not available	not available	not applicable	not available	cell line	interferon gamma	2	immunoaffinity purification	MHC class I protein complex	not available	not available	WM3526_ClassI_cellIFNg_Rep2	proteomic profiling by mass spectrometry	TTU_YS_23939_2311_02042025_4-7-2025_4762.d.zip	1	NT=timsTOF;AC=MS:1003229	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	interferon gamma	whole cell
WM3526_cell_IFNg_rep3	Homo sapiens	skin	melanoma	WM3526	not available	not available	not available	not applicable	not available	cell line	interferon gamma	3	immunoaffinity purification	MHC class I protein complex	not available	not available	WM3526_ClassI_cellIFNg_Rep3	proteomic profiling by mass spectrometry	TTU_YS_23939_2312_02042025_4-7-2025_4763.d.zip	1	NT=timsTOF;AC=MS:1003229	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	interferon gamma	whole cell
WM3526_melanosome_rep1	Homo sapiens	skin	melanoma	WM3526	not available	not available	not available	not applicable	not available	cell line	untreated	1	immunoaffinity purification	MHC class I protein complex	not available	not available	WM3526_ClassI_melanosome_Rep1	proteomic profiling by mass spectrometry	TTU_YS_23939_2313_4-7-2025_4764.d.zip	1	NT=timsTOF;AC=MS:1003229	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	untreated	melanosome
WM3526_melanosome_rep2	Homo sapiens	skin	melanoma	WM3526	not available	not available	not available	not applicable	not available	cell line	untreated	2	immunoaffinity purification	MHC class I protein complex	not available	not available	WM3526_ClassI_melanosome_Rep2	proteomic profiling by mass spectrometry	TTU_YS_23939_2314_4-7-2025_4765.d.zip	1	NT=timsTOF;AC=MS:1003229	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	untreated	melanosome
WM3526_melanosome_rep3	Homo sapiens	skin	melanoma	WM3526	not available	not available	not available	not applicable	not available	cell line	untreated	3	immunoaffinity purification	MHC class I protein complex	not available	not available	WM3526_ClassI_melanosome_Rep3	proteomic profiling by mass spectrometry	TTU_YS_23939_2315_4-7-2025_4766.d.zip	1	NT=timsTOF;AC=MS:1003229	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	untreated	melanosome
WM3526_melanosome_IFNg_rep1	Homo sapiens	skin	melanoma	WM3526	not available	not available	not available	not applicable	not available	cell line	interferon gamma	1	immunoaffinity purification	MHC class I protein complex	not available	not available	WM3526_ClassI_melanosomeIFNg_Rep1	proteomic profiling by mass spectrometry	TTU_YS_23939_2316_4-7-2025_4767.d.zip	1	NT=timsTOF;AC=MS:1003229	NT=Data-Dependent Acquisition;AC=PRIDE:0000418	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=CID;AC=MS:1000133	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35;PP=Anywhere	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not available	not available	NT=time-of-flight;AC=MS:1000084	v1.1.0	NT=human;VV=v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=immunopeptidomics;VV=v1.0.0	interferon gamma	melanosome
