source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
4803	Glycine max	Root	not applicable	Wounds and injuries	1	4803	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	4803.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/4803.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
p5102	Glycine max	Root	not applicable	Wounds and injuries	1	p5102	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	p5102.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/p5102.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
60124	Glycine max	Root	not applicable	Wounds and injuries	1	60124	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	60124.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/60124.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
72244	Glycine max	Root	not applicable	Wounds and injuries	1	72244	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	72244.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/72244.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
p6002	Glycine max	Root	not applicable	Wounds and injuries	1	p6002	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	p6002.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/p6002.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
60123	Glycine max	Root	not applicable	Wounds and injuries	1	60123	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	60123.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/60123.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
72243	Glycine max	Root	not applicable	Wounds and injuries	1	72243	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	72243.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/72243.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
p5401	Glycine max	Root	not applicable	Wounds and injuries	1	p5401	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	p5401.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/p5401.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
5133	Glycine max	Root	not applicable	Wounds and injuries	1	5133	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	5133.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/5133.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
p72244	Glycine max	Root	not applicable	Wounds and injuries	1	p72244	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	p72244.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/11/PXD000898/p72244.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Root
