source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
0089-130128MaRiS01Tscx05pDW01	Rattus norvegicus	Epithelial cell	not applicable	not available	1	0089-130128MaRiS01Tscx05pDW01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	0089-130128MaRiS01Tscx05pDW01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001005/0089-130128MaRiS01Tscx05pDW01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
0089-120927MaRiS02Tscx01pD	Rattus norvegicus	Epithelial cell	not applicable	not available	1	0089-120927MaRiS02Tscx01pD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	0089-120927MaRiS02Tscx01pD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001005/0089-120927MaRiS02Tscx01pD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
0089-130128MaRiS01Tscxp04D	Rattus norvegicus	Epithelial cell	not applicable	not available	1	0089-130128MaRiS01Tscxp04D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	0089-130128MaRiS01Tscxp04D.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001005/0089-130128MaRiS01Tscxp04D.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
0089-120927MaRiS01Tscx04pD	Rattus norvegicus	Epithelial cell	not applicable	not available	1	0089-120927MaRiS01Tscx04pD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	0089-120927MaRiS01Tscx04pD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001005/0089-120927MaRiS01Tscx04pD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
0089-120927MaRiS01Tscx05pD	Rattus norvegicus	Epithelial cell	not applicable	not available	1	0089-120927MaRiS01Tscx05pD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	0089-120927MaRiS01Tscx05pD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001005/0089-120927MaRiS01Tscx05pD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
0089-130104MaRiS09TpD	Rattus norvegicus	Epithelial cell	not applicable	not available	1	0089-130104MaRiS09TpD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	0089-130104MaRiS09TpD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001005/0089-130104MaRiS09TpD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
0089-120927MaRiS01Tscx02pD	Rattus norvegicus	Epithelial cell	not applicable	not available	1	0089-120927MaRiS01Tscx02pD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	0089-120927MaRiS01Tscx02pD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001005/0089-120927MaRiS01Tscx02pD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
0089-130104MaRiS10TpD	Rattus norvegicus	Epithelial cell	not applicable	not available	1	0089-130104MaRiS10TpD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	0089-130104MaRiS10TpD.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001005/0089-130104MaRiS10TpD.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
0089-130128MaRiS01Tscx06pDW01	Rattus norvegicus	Epithelial cell	not applicable	not available	1	0089-130128MaRiS01Tscx06pDW01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	0089-130128MaRiS01Tscx06pDW01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001005/0089-130128MaRiS01Tscx06pDW01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
0089-130128MaRiS01Tscxp04DW01	Rattus norvegicus	Epithelial cell	not applicable	not available	1	0089-130128MaRiS01Tscxp04DW01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	0089-130128MaRiS01Tscxp04DW01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD001005/0089-130128MaRiS01Tscxp04DW01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
