source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[quenching reagent]	comment[reduction reagent]	comment[alkylation reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1509_012	proteomic profiling by mass spectrometry	mazadeh_C1509_012.raw	1	11	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1509_013	proteomic profiling by mass spectrometry	mazadeh_C1509_013.raw	1	12	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1509_015	proteomic profiling by mass spectrometry	mazadeh_C1509_015.raw	1	13	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1509_016	proteomic profiling by mass spectrometry	mazadeh_C1509_016.raw	1	14	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1509_017	proteomic profiling by mass spectrometry	mazadeh_C1509_017.raw	1	15	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1509_018	proteomic profiling by mass spectrometry	mazadeh_C1509_018.raw	1	16	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1509_019	proteomic profiling by mass spectrometry	mazadeh_C1509_019.raw	1	17	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1509_020	proteomic profiling by mass spectrometry	mazadeh_C1509_020.raw	1	18	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1611_086	proteomic profiling by mass spectrometry	mazadeh_C1611_086.raw	1	19	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1611_087	proteomic profiling by mass spectrometry	mazadeh_C1611_087.raw	1	20	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1611_088	proteomic profiling by mass spectrometry	mazadeh_C1611_088.raw	1	21	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1611_089	proteomic profiling by mass spectrometry	mazadeh_C1611_089.raw	1	22	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1611_090	proteomic profiling by mass spectrometry	mazadeh_C1611_090.raw	1	23	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1611_091	proteomic profiling by mass spectrometry	mazadeh_C1611_091.raw	1	24	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1611_093	proteomic profiling by mass spectrometry	mazadeh_C1611_093.raw	1	25	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1611_094	proteomic profiling by mass spectrometry	mazadeh_C1611_094.raw	1	26	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1611_095	proteomic profiling by mass spectrometry	mazadeh_C1611_095.raw	1	27	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1611_096	proteomic profiling by mass spectrometry	mazadeh_C1611_096.raw	1	28	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD025710-Sample-1	Homo sapiens	not applicable	not applicable	not applicable	not available	not applicable	1	not available	not available	not available	11.4 Å	not available	not available	mazadeh_C1611_097	proteomic profiling by mass spectrometry	mazadeh_C1611_097.raw	1	29	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	not available	not available	cross-linking mass spectrometry	NT=DMTMM;AC=XLMOD:02015	not available	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
