source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
ADPIloprostReplicate1TiO2HILIC36-37	Homo sapiens	Blood	not applicable	not available	37	ADPIloprostReplicate1TiO2HILIC36-37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	ADPIloprostReplicate1TiO2HILIC36-37.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPIloprostReplicate1TiO2HILIC36-37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate2TiO2HILIC40-41	Homo sapiens	Blood	not applicable	not available	41	ADPReplicate2TiO2HILIC40-41	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	ADPReplicate2TiO2HILIC40-41.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate2TiO2HILIC40-41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPIloprostReplicate3TiO2HILIC52-60	Homo sapiens	Blood	not applicable	not available	60	ADPIloprostReplicate3TiO2HILIC52-60	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	ADPIloprostReplicate3TiO2HILIC52-60.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPIloprostReplicate3TiO2HILIC52-60.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPIloprostReplicate2TiO2HILIC46-47	Homo sapiens	Blood	not applicable	not available	47	ADPIloprostReplicate2TiO2HILIC46-47	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	ADPIloprostReplicate2TiO2HILIC46-47.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPIloprostReplicate2TiO2HILIC46-47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPIloprostReplicate3TiO2HILIC50-51	Homo sapiens	Blood	not applicable	not available	51	ADPIloprostReplicate3TiO2HILIC50-51	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	ADPIloprostReplicate3TiO2HILIC50-51.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPIloprostReplicate3TiO2HILIC50-51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate2globalpH6Fr3	Homo sapiens	Blood	not applicable	not available	1	ADPReplicate2globalpH6Fr3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	ADPReplicate2globalpH6Fr3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate2globalpH6Fr3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPIloprostReplicate3globalpH6Fr6	Homo sapiens	Blood	not applicable	not available	1	ADPIloprostReplicate3globalpH6Fr6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	ADPIloprostReplicate3globalpH6Fr6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPIloprostReplicate3globalpH6Fr6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate3globalpH6Fr8	Homo sapiens	Blood	not applicable	not available	1	ADPReplicate3globalpH6Fr8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	ADPReplicate3globalpH6Fr8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate3globalpH6Fr8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate3TiO2HILIC50-51	Homo sapiens	Blood	not applicable	not available	51	ADPReplicate3TiO2HILIC50-51	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	ADPReplicate3TiO2HILIC50-51.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate3TiO2HILIC50-51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
ADPReplicate2TiO2HILIC31-35	Homo sapiens	Blood	not applicable	not available	35	ADPReplicate2TiO2HILIC31-35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	ADPReplicate2TiO2HILIC31-35.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD001189/ADPReplicate2TiO2HILIC31-35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood
