source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[infect]	characteristics[time]	characteristics[biological replicate]	characteristics[culture medium]	characteristics[sample storage temperature]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]	factor value[infect]	factor value[time]
Efk3B-hACE2_mock_r1	Eptesicus fuscus	kidney	epithelial cell	normal	Efk3B	CVCL_GZ34	Efk3B	not available	not available	not available	male	not available	cell	not applicable	0 hour	1	not available	not available	run EIFK3_MOCK_24h1_B1_1_239	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	EIFK3_MOCK_24h1_B1_1_239.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/EIFK3_MOCK_24h1_B1_1_239.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	normal	not applicable	0 hour
Efk3B-hACE2_mock_r2	Eptesicus fuscus	kidney	epithelial cell	normal	Efk3B	CVCL_GZ34	Efk3B	not available	not available	not available	male	not available	cell	not applicable	0 hour	2	not available	not available	run EIFK3_MOCK_24h2_B4_1_251	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	EIFK3_MOCK_24h2_B4_1_251.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/EIFK3_MOCK_24h2_B4_1_251.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	normal	not applicable	0 hour
Efk3B-hACE2_mock_r3	Eptesicus fuscus	kidney	epithelial cell	normal	Efk3B	CVCL_GZ34	Efk3B	not available	not available	not available	male	not available	cell	not applicable	0 hour	3	not available	not available	run EIFK3_MOCK_24h3_B7_1_214	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	EIFK3_MOCK_24h3_B7_1_214.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/EIFK3_MOCK_24h3_B7_1_214.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	normal	not applicable	0 hour
Efk3B-hACE2_mock_r4	Eptesicus fuscus	kidney	epithelial cell	normal	Efk3B	CVCL_GZ34	Efk3B	not available	not available	not available	male	not available	cell	not applicable	0 hour	4	not available	not available	run EIFK3_MOCK_24h4_B10_1_227	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	EIFK3_MOCK_24h4_B10_1_227.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/EIFK3_MOCK_24h4_B10_1_227.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	normal	not applicable	0 hour
Efk3B-hACE2_24h_r1	Eptesicus fuscus	kidney	epithelial cell	normal	Efk3B	CVCL_GZ34	Efk3B	not available	not available	not available	male	not available	cell	SARS-CoV-2	24 hour	1	not available	not available	run EIFK3_24h1_B2_1_243	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	EIFK3_24h1_B2_1_243.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/EIFK3_24h1_B2_1_243.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	normal	SARS-CoV-2	24 hour
Efk3B-hACE2_24h_r2	Eptesicus fuscus	kidney	epithelial cell	normal	Efk3B	CVCL_GZ34	Efk3B	not available	not available	not available	male	not available	cell	SARS-CoV-2	24 hour	2	not available	not available	run EIFK3_24h2_B5_1_257	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	EIFK3_24h2_B5_1_257.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/EIFK3_24h2_B5_1_257.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	normal	SARS-CoV-2	24 hour
Efk3B-hACE2_24h_r3	Eptesicus fuscus	kidney	epithelial cell	normal	Efk3B	CVCL_GZ34	Efk3B	not available	not available	not available	male	not available	cell	SARS-CoV-2	24 hour	3	not available	not available	run EIFK3_24h3_B8_1_217	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	EIFK3_24h3_B8_1_217.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/EIFK3_24h3_B8_1_217.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	normal	SARS-CoV-2	24 hour
Efk3B-hACE2_24h_r4	Eptesicus fuscus	kidney	epithelial cell	normal	Efk3B	CVCL_GZ34	Efk3B	not available	not available	not available	male	not available	cell	SARS-CoV-2	24 hour	4	not available	not available	run EIFK3_24h4_B11_1_231	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	EIFK3_24h4_B11_1_231.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/EIFK3_24h4_B11_1_231.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	normal	SARS-CoV-2	24 hour
Efk3B-hACE2_48h_r1	Eptesicus fuscus	kidney	epithelial cell	normal	Efk3B	CVCL_GZ34	Efk3B	not available	not available	not available	male	not available	cell	SARS-CoV-2	48 hour	1	not available	not available	run EIFK3_48h1_B3_1_247	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	EIFK3_48h1_B3_1_247.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/EIFK3_48h1_B3_1_247.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	normal	SARS-CoV-2	48 hour
Efk3B-hACE2_48h_r2	Eptesicus fuscus	kidney	epithelial cell	normal	Efk3B	CVCL_GZ34	Efk3B	not available	not available	not available	male	not available	cell	SARS-CoV-2	48 hour	2	not available	not available	run EIFK3_48h2_B6_1_261	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	EIFK3_48h2_B6_1_261.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/EIFK3_48h2_B6_1_261.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	normal	SARS-CoV-2	48 hour
