source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
PXD000354-Sample-1	Rattus norvegicus	cardiac muscle tissue	not available	1	120711_S_RVRF_01_01_PrimeXS_Phospho_C1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	1	1	120711_S_RVRF_01_01_PrimeXS_Phospho_C1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD000354-Sample-2	Rattus norvegicus	cardiac muscle tissue	not available	1	120711_S_RVRF_02_01_PrimeXS_Phospho_C2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	1	1	120711_S_RVRF_02_01_PrimeXS_Phospho_C2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD000354-Sample-3	Rattus norvegicus	cardiac muscle tissue	not available	1	120711_S_RVRF_03_01_PrimeXS_Phospho_C3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	1	1	120711_S_RVRF_03_01_PrimeXS_Phospho_C3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD000354-Sample-4	Rattus norvegicus	cardiac muscle tissue	not available	1	120711_S_RVRF_04_01_PrimeXS_Phospho_C4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	1	1	120711_S_RVRF_04_01_PrimeXS_Phospho_C4.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD000354-Sample-5	Rattus norvegicus	cardiac muscle tissue	not available	1	120711_S_RVRF_05_01_PrimeXS_Phospho_C5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	1	1	120711_S_RVRF_05_01_PrimeXS_Phospho_C5.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD000354-Sample-6	Rattus norvegicus	cardiac muscle tissue	not available	1	120711_S_RVRF_06_01_PrimeXS_Phospho_E1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	1	1	120711_S_RVRF_06_01_PrimeXS_Phospho_E1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD000354-Sample-7	Rattus norvegicus	cardiac muscle tissue	not available	1	120711_S_RVRF_07_01_PrimeXS_Phospho_E2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	1	1	120711_S_RVRF_07_01_PrimeXS_Phospho_E2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD000354-Sample-8	Rattus norvegicus	cardiac muscle tissue	not available	1	120711_S_RVRF_08_01_PrimeXS_Phospho_E3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	1	1	120711_S_RVRF_08_01_PrimeXS_Phospho_E3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD000354-Sample-9	Rattus norvegicus	cardiac muscle tissue	not available	1	120711_S_RVRF_09_01_PrimeXS_Phospho_E4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	1	1	120711_S_RVRF_09_01_PrimeXS_Phospho_E4.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD000354-Sample-10	Rattus norvegicus	cardiac muscle tissue	not available	1	120711_S_RVRF_10_01_PrimeXS_Phospho_E5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	1	1	120711_S_RVRF_10_01_PrimeXS_Phospho_E5.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
PXD000354-Sample-11	Rattus norvegicus	cardiac muscle tissue	not available	1	120718_S_RVRF_01_01_PrimeXS_Phospho_Enrichment_C1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	1	1	120718_S_RVRF_01_01_PrimeXS_Phospho_Enrichment_C1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	cardiac muscle tissue
