source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[viral bait]	factor value[fusion orientation]	factor value[expression mode]	factor value[stimulation]	factor value[sample group]
HEK293 E BF stable not treated rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	E-BF_stable_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	E-BF_stable_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/E-BF_stable_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	E	BF	stable	not treated	E-BF_stable
HEK293 E BF stable not treated rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	E-BF_stable_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	E-BF_stable_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/E-BF_stable_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	E	BF	stable	not treated	E-BF_stable
HEK293 E BF stable not treated rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	E-BF_stable_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	E-BF_stable_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/E-BF_stable_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	E	BF	stable	not treated	E-BF_stable
HEK293 E FB stable not treated rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-E_stable_2904_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-E_stable_2904_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-E_stable_2904_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	E	FB	stable	not treated	FB-E_stable_2904
HEK293 E FB stable not treated rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-E_stable_2904_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-E_stable_2904_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-E_stable_2904_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	E	FB	stable	not treated	FB-E_stable_2904
HEK293 E FB stable not treated rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-E_stable_2904_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-E_stable_2904_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-E_stable_2904_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	E	FB	stable	not treated	FB-E_stable_2904
HEK293 E FB stable poly(I:C) rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-E_stable_PIC_2506_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-E_stable_PIC_2506_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-E_stable_PIC_2506_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	E	FB	stable	poly(I:C)	FB-E_stable_PIC_2506
HEK293 E FB stable poly(I:C) rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-E_stable_PIC_2506_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-E_stable_PIC_2506_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-E_stable_PIC_2506_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	E	FB	stable	poly(I:C)	FB-E_stable_PIC_2506
HEK293 E FB stable poly(I:C) rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-E_stable_PIC_2506_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-E_stable_PIC_2506_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-E_stable_PIC_2506_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	E	FB	stable	poly(I:C)	FB-E_stable_PIC_2506
HEK293 M FB stable not treated rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-M_stable_2904_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-M_stable_2904_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-M_stable_2904_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	M	FB	stable	not treated	FB-M_stable_2904
