source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-0-1	Mus musculus	Testis	not applicable	not available	1	mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-0-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-0-1.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-0-1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-29_32min-3	Mus musculus	Testis	not applicable	not available	3	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-29_32min-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-29_32min-3.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-29_32min-3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-1_4min	Mus musculus	Testis	not applicable	not available	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-1_4min	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-1_4min.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-1_4min.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-21_24min_1	Mus musculus	Testis	not applicable	not available	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-21_24min_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-21_24min_1.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-21_24min_1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-1	Mus musculus	Testis	not applicable	not available	1	mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-1.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-33_36min-3	Mus musculus	Testis	not applicable	not available	3	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-33_36min-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-33_36min-3.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-33_36min-3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-1_4min-3	Mus musculus	Testis	not applicable	not available	3	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-1_4min-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-1_4min-3.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-1_4min-3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-2	Mus musculus	Testis	not applicable	not available	2	mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-2.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-IMACenriched2-ql-2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-0-2	Mus musculus	Testis	not applicable	not available	2	mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-0-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-0-2.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-IMACenriched-ql-0-2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-25_28min_1	Mus musculus	Testis	not applicable	not available	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-25_28min_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-25_28min_1.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD000767/mmtestis-5mg-SCX_ID9_6mm-TiO2enriched-25_28min_1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Testis
