source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[genotype]	characteristics[strain or breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
WT_njXF	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	not available	not available	WT_njXF	tissue	1	wild-type littermate	Chchd10 +/+	not available	20241115_KmUUbGabck_DoDi_01_Chchd10_KI_S55L_WT_njXF	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_01_Chchd10_KI_S55L_WT_njXF.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate
WT_eMRH	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	not available	not available	WT_eMRH	tissue	2	wild-type littermate	Chchd10 +/+	not available	20241115_KmUUbGabck_DoDi_02_Chchd10_KI_S55L_WT_eMRH	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_02_Chchd10_KI_S55L_WT_eMRH.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate
WT_TzZG	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	not available	not available	WT_TzZG	tissue	3	wild-type littermate	Chchd10 +/+	not available	20241115_KmUUbGabck_DoDi_03_Chchd10_KI_S55L_WT_TzZG	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_03_Chchd10_KI_S55L_WT_TzZG.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate
WT_r3ey	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	not available	not available	WT_r3ey	tissue	4	wild-type littermate	Chchd10 +/+	not available	20241115_KmUUbGabck_DoDi_04_Chchd10_KI_S55L_WT_r3ey	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_04_Chchd10_KI_S55L_WT_r3ey.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate
WT_lzDS	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	not available	not available	WT_lzDS	tissue	5	wild-type littermate	Chchd10 +/+	not available	20241115_KmUUbGabck_DoDi_05_Chchd10_KI_S55L_WT_lzDS	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_05_Chchd10_KI_S55L_WT_lzDS.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate
hetero_9bql	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=cardiomyopathy;AC=MONDO:0004994	NT=adult;AC=EFO:0001272	not available	not available	not available	hetero_9bql	tissue	1	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)	Chchd10 S55L/+	not available	20241115_KmUUbGabck_DoDi_06_Chchd10_KI_S55L_hetero_9bql	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_06_Chchd10_KI_S55L_hetero_9bql.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)
hetero_NcW5	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=cardiomyopathy;AC=MONDO:0004994	NT=adult;AC=EFO:0001272	not available	not available	not available	hetero_NcW5	tissue	2	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)	Chchd10 S55L/+	not available	20241115_KmUUbGabck_DoDi_07_Chchd10_KI_S55L_hetero_NcW5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_07_Chchd10_KI_S55L_hetero_NcW5.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)
hetero_oYvq	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=cardiomyopathy;AC=MONDO:0004994	NT=adult;AC=EFO:0001272	not available	not available	not available	hetero_oYvq	tissue	3	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)	Chchd10 S55L/+	not available	20241115_KmUUbGabck_DoDi_08_Chchd10_KI_S55L_hetero_oYvq	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_08_Chchd10_KI_S55L_hetero_oYvq.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)
hetero_Y4wm	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=cardiomyopathy;AC=MONDO:0004994	NT=adult;AC=EFO:0001272	not available	not available	not available	hetero_Y4wm	tissue	4	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)	Chchd10 S55L/+	not available	20241115_KmUUbGabck_DoDi_09_Chchd10_KI_S55L_hetero_Y4wm	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_09_Chchd10_KI_S55L_hetero_Y4wm.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)
hetero_qZEJ	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=cardiomyopathy;AC=MONDO:0004994	NT=adult;AC=EFO:0001272	not available	not available	not available	hetero_qZEJ	tissue	5	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)	Chchd10 S55L/+	not available	20241115_KmUUbGabck_DoDi_10_Chchd10_KI_S55L_hetero_qZEJ	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20241115_KmUUbGabck_DoDi_10_Chchd10_KI_S55L_hetero_qZEJ.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model)
