source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[strain or breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
PXD043384-Sample-1	NT=Mus musculus;AC=NCBITaxon:10090	cardiac ventricle	not applicable	NT=propionic acidemia;AC=MONDO:0011628	not available	not available	not available	not available	PA_rep1	tissue	1	Female propionic acidemia model mouse, 8 weeks old; ventricular (heart) tissue processed for phosphoproteomics	not available	QEX01_MF_230403_KC7-KO-phospho_004	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.6 Da	1	1	QEX01_MF_230403_KC7-KO-phospho_004.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	PA
PXD043384-Sample-2	NT=Mus musculus;AC=NCBITaxon:10090	cardiac ventricle	not applicable	NT=propionic acidemia;AC=MONDO:0011628	not available	not available	not available	not available	PA_rep2	tissue	2	Female propionic acidemia model mouse, 8 weeks old; ventricular (heart) tissue processed for phosphoproteomics	not available	QEX01_MF_230403_KC8-KO-phospho_005	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.6 Da	1	1	QEX01_MF_230403_KC8-KO-phospho_005.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	PA
PXD043384-Sample-3	NT=Mus musculus;AC=NCBITaxon:10090	cardiac ventricle	not applicable	NT=propionic acidemia;AC=MONDO:0011628	not available	not available	not available	not available	PA_rep3	tissue	3	Female propionic acidemia model mouse, 8 weeks old; ventricular (heart) tissue processed for phosphoproteomics	not available	QEX01_MF_230403_KC9-KO-phospho_006	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.6 Da	1	1	QEX01_MF_230403_KC9-KO-phospho_006.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	PA
PXD043384-Sample-4	NT=Mus musculus;AC=NCBITaxon:10090	cardiac ventricle	not applicable	NT=propionic acidemia;AC=MONDO:0011628	not available	not available	not available	not available	PA_rep4	tissue	4	Female propionic acidemia model mouse, 8 weeks old; ventricular (heart) tissue processed for phosphoproteomics	not available	QEX01_MF_230403_KC10-KO-phospho_007	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.6 Da	1	1	QEX01_MF_230403_KC10-KO-phospho_007.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	PA
PXD043384-Sample-5	NT=Mus musculus;AC=NCBITaxon:10090	cardiac ventricle	not applicable	NT=propionic acidemia;AC=MONDO:0011628	not available	not available	not available	not available	PA_rep5	tissue	5	Female propionic acidemia model mouse, 8 weeks old; ventricular (heart) tissue processed for phosphoproteomics	not available	QEX01_MF_230403_KC11-KO-phospho_008	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.6 Da	1	1	QEX01_MF_230403_KC11-KO-phospho_008.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	PA
PXD043384-Sample-6	NT=Mus musculus;AC=NCBITaxon:10090	cardiac ventricle	not applicable	NT=propionic acidemia;AC=MONDO:0011628	not available	not available	not available	not available	PA_rep6	tissue	6	Female propionic acidemia model mouse, 8 weeks old; ventricular (heart) tissue processed for phosphoproteomics	not available	QEX01_MF_230403_KC12-KO-phospho_009	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.6 Da	1	1	QEX01_MF_230403_KC12-KO-phospho_009.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	PA
PXD043384-Sample-7	NT=Mus musculus;AC=NCBITaxon:10090	cardiac ventricle	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	WT_rep1	tissue	1	Wild-type female littermate control, 8 weeks old	not available	QEX01_MF_230331_KC1-WT--phospho_281	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.6 Da	1	1	QEX01_MF_230331_KC1-WT--phospho_281.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	WT
PXD043384-Sample-8	NT=Mus musculus;AC=NCBITaxon:10090	cardiac ventricle	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	WT_rep2	tissue	2	Wild-type female littermate control, 8 weeks old	not available	QEX01_MF_230331_KC2-WT--phospho_282	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.6 Da	1	1	QEX01_MF_230331_KC2-WT--phospho_282.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	WT
PXD043384-Sample-9	NT=Mus musculus;AC=NCBITaxon:10090	cardiac ventricle	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	WT_rep3	tissue	3	Wild-type female littermate control, 8 weeks old	not available	QEX01_MF_230331_KC3-WT-phospho_283	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.6 Da	1	1	QEX01_MF_230331_KC3-WT-phospho_283.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	WT
PXD043384-Sample-10	NT=Mus musculus;AC=NCBITaxon:10090	cardiac ventricle	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	WT_rep4	tissue	4	Wild-type female littermate control, 8 weeks old	not available	QEX01_MF_230331_KC4-WT-phospho_284	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	0.6 Da	1	1	QEX01_MF_230331_KC4-WT-phospho_284.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	WT
