source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
unbound_CID-HCD_2cid	Pisum sativum	Seedling	not applicable	not available	1	unbound_CID-HCD_2cid	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	unbound_CID-HCD_2cid.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000495/unbound_CID-HCD_2cid.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seedling
enriched_CID_2	Pisum sativum	Seedling	not applicable	not available	2	enriched_CID_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	enriched_CID_2.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000495/enriched_CID_2.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seedling
enriched_CID_3	Pisum sativum	Seedling	not applicable	not available	3	enriched_CID_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	enriched_CID_3.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000495/enriched_CID_3.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seedling
unbound_CID_3	Pisum sativum	Seedling	not applicable	not available	3	unbound_CID_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	unbound_CID_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000495/unbound_CID_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seedling
enriched_CID-HCD_3hcd	Pisum sativum	Seedling	not applicable	not available	1	enriched_CID-HCD_3hcd	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	enriched_CID-HCD_3hcd.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000495/enriched_CID-HCD_3hcd.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seedling
enriched_CID_1	Pisum sativum	Seedling	not applicable	not available	1	enriched_CID_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	enriched_CID_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000495/enriched_CID_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seedling
unbound_CID-HCD_3cid	Pisum sativum	Seedling	not applicable	not available	1	unbound_CID-HCD_3cid	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	unbound_CID-HCD_3cid.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000495/unbound_CID-HCD_3cid.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seedling
unbound_CID-HCD_3hcd	Pisum sativum	Seedling	not applicable	not available	1	unbound_CID-HCD_3hcd	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	unbound_CID-HCD_3hcd.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000495/unbound_CID-HCD_3hcd.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seedling
unbound_HCD_1	Pisum sativum	Seedling	not applicable	not available	1	unbound_HCD_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	unbound_HCD_1.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000495/unbound_HCD_1.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seedling
enriched_HCD_3	Pisum sativum	Seedling	not applicable	not available	3	enriched_HCD_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Acetyl;AC=UNIMOD:58;TA=K;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	enriched_HCD_3.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000495/enriched_HCD_3.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Seedling
