source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
ELITE-RSLC016174	Saccharomyces cerevisiae	not available	1	ELITE-RSLC016174	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	ELITE-RSLC016174.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
QEplus013877	Saccharomyces cerevisiae	not available	1	QEplus013877	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	QEplus013877.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
QEplus013852	Saccharomyces cerevisiae	not available	1	QEplus013852	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	QEplus013852.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
ELITE-RSLC016129	Saccharomyces cerevisiae	not available	1	ELITE-RSLC016129	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	ELITE-RSLC016129.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
ELITE-RSLC016131	Saccharomyces cerevisiae	not available	1	ELITE-RSLC016131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	ELITE-RSLC016131.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
ELITE-RSLC016180	Saccharomyces cerevisiae	not available	1	ELITE-RSLC016180	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	ELITE-RSLC016180.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
ELITE-RSLC016399	Saccharomyces cerevisiae	not available	1	ELITE-RSLC016399	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	ELITE-RSLC016399.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
ELITE-RSLC016079	Saccharomyces cerevisiae	not available	1	ELITE-RSLC016079	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	ELITE-RSLC016079.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
ELITE-RSLC016148	Saccharomyces cerevisiae	not available	1	ELITE-RSLC016148	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	ELITE-RSLC016148.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
ELITE-RSLC015999	Saccharomyces cerevisiae	not available	1	ELITE-RSLC015999	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	ELITE-RSLC015999.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
