source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
muscle_1	NT=Mus musculus;AC=NCBITaxon:10090	NT=muscle organ;AC=UBERON:0001630	not available	not available	muscle	1	run_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	20 ppm	1	1	HFX_7547_EZE_M1_muscle_130618.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	muscle
muscle_2	NT=Mus musculus;AC=NCBITaxon:10090	NT=muscle organ;AC=UBERON:0001630	not available	not available	muscle	2	run_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	20 ppm	1	1	HFX_7547_EZE_M2_muscle_130618.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	muscle
muscle_3	NT=Mus musculus;AC=NCBITaxon:10090	NT=muscle organ;AC=UBERON:0001630	not available	not available	muscle	3	run_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	20 ppm	1	1	HFX_7547_EZE_M4_muscle_130618.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	muscle
muscle_4	NT=Mus musculus;AC=NCBITaxon:10090	NT=muscle organ;AC=UBERON:0001630	not available	not available	muscle	4	run_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	20 ppm	1	1	HFX_7547_EZE_M5_muscle_130618.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	muscle
muscle_5	NT=Mus musculus;AC=NCBITaxon:10090	NT=muscle organ;AC=UBERON:0001630	not available	not available	muscle	5	run_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	20 ppm	1	1	HFX_7547_EZE_M6_muscle_130618.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	muscle
nerve_1	NT=Mus musculus;AC=NCBITaxon:10090	NT=nerve;AC=UBERON:0001021	not available	not available	nerve	1	run_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	20 ppm	1	2	HFX_7547_EZE_M1_nerve_130618.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	nerve
nerve_2	NT=Mus musculus;AC=NCBITaxon:10090	NT=nerve;AC=UBERON:0001021	not available	not available	nerve	2	run_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	20 ppm	1	2	HFX_7547_EZE_M2_nerve_130618.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	nerve
nerve_3	NT=Mus musculus;AC=NCBITaxon:10090	NT=nerve;AC=UBERON:0001021	not available	not available	nerve	3	run_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	20 ppm	1	2	HFX_7547_EZE_M3_nerve_130618.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	nerve
nerve_4	NT=Mus musculus;AC=NCBITaxon:10090	NT=nerve;AC=UBERON:0001021	not available	not available	nerve	4	run_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	20 ppm	1	2	HFX_7547_EZE_M4_nerve_130618.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	nerve
nerve_5	NT=Mus musculus;AC=NCBITaxon:10090	NT=nerve;AC=UBERON:0001021	not available	not available	nerve	5	run_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	20 ppm	1	2	HFX_7547_EZE_M5_nerve_130618.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	nerve
