source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
yeast1_scx04_control	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx04_control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx04_control.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx04_control.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx01	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx08_2	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	2	yeast1_scx08_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx08_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx08_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx07	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx07.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx07.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx05_control	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx05_control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx05_control.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx05_control.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx02	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx02.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx12	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx09_2	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	2	yeast1_scx09_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx09_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx09_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx01_control	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx01_control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx01_control.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx01_control.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
yeast1_scx12_control	saccharomyces cerevisiae	serum	not applicable	not available	enrichment of phosphorylated protein	1	yeast1_scx12_control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	yeast1_scx12_control.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000414/yeast1_scx12_control.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
