source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20241123_jlb_ABattison_Borniger_ApexCytUB_1pt5ug_120min_OTITcid_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241123_jlb_ABattison_Borniger_ApexCytUB_1pt5ug_120min_OTITcid_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241123_jlb_ABattison_Borniger_ApexCytUB_1pt5ug_120min_OTITcid_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20250103_jlb_ABattison_Borniger_ANT1_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20250103_jlb_ABattison_Borniger_ANT1_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20250103_jlb_ABattison_Borniger_ANT1_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20241123_jlb_ABattison_Borniger_TurboMembUB_1pt5ug_120min_OTITcid_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241123_jlb_ABattison_Borniger_TurboMembUB_1pt5ug_120min_OTITcid_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241123_jlb_ABattison_Borniger_TurboMembUB_1pt5ug_120min_OTITcid_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20241217_jlb_ABattison_Borniger_TMg3_GluC_2ug_OTOTetd_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241217_jlb_ABattison_Borniger_TMg3_GluC_2ug_OTOTetd_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241217_jlb_ABattison_Borniger_TMg3_GluC_2ug_OTOTetd_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20241217_jlb_ABattison_Borniger_TMg2_GluC_2ug_OTOTetd_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241217_jlb_ABattison_Borniger_TMg2_GluC_2ug_OTOTetd_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241217_jlb_ABattison_Borniger_TMg2_GluC_2ug_OTOTetd_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20241123_jlb_ABattison_Borniger_ApexMemb_1pt5ug_120min_OTITcid_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241123_jlb_ABattison_Borniger_ApexMemb_1pt5ug_120min_OTITcid_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241123_jlb_ABattison_Borniger_ApexMemb_1pt5ug_120min_OTITcid_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20241217_jlb_ABattison_Borniger_TNg2_GluC_2ug_OTOTetd_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241217_jlb_ABattison_Borniger_TNg2_GluC_2ug_OTOTetd_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241217_jlb_ABattison_Borniger_TNg2_GluC_2ug_OTOTetd_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20250103_jlb_ABattison_Borniger_TMT3_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20250103_jlb_ABattison_Borniger_TMT3_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20250103_jlb_ABattison_Borniger_TMT3_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20241217_jlb_ABattison_Borniger_ANg1_GluC_2ug_OTOTetd_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241217_jlb_ABattison_Borniger_ANg1_GluC_2ug_OTOTetd_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241217_jlb_ABattison_Borniger_ANg1_GluC_2ug_OTOTetd_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20241007_jlb_ABattison_Borniger_TurboCytB_2ug_120min_OTOTetd_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241007_jlb_ABattison_Borniger_TurboCytB_2ug_120min_OTOTetd_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241007_jlb_ABattison_Borniger_TurboCytB_2ug_120min_OTOTetd_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20250103_jlb_ABattison_Borniger_TCT2_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20250103_jlb_ABattison_Borniger_TCT2_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20250103_jlb_ABattison_Borniger_TCT2_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20250103_jlb_ABattison_Borniger_ACT2_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20250103_jlb_ABattison_Borniger_ACT2_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20250103_jlb_ABattison_Borniger_ACT2_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20241217_jlb_ABattison_Borniger_AMg1_GluC_2ug_OTOTetd_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241217_jlb_ABattison_Borniger_AMg1_GluC_2ug_OTOTetd_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241217_jlb_ABattison_Borniger_AMg1_GluC_2ug_OTOTetd_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20241123_jlb_ABattison_Borniger_ApexMembUB_1pt5ug_120min_OTITcid_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241123_jlb_ABattison_Borniger_ApexMembUB_1pt5ug_120min_OTITcid_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241123_jlb_ABattison_Borniger_ApexMembUB_1pt5ug_120min_OTITcid_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20241123_jlb_ABattison_Borniger_Ctrl_1pt5ug_OTITcid_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241123_jlb_ABattison_Borniger_Ctrl_1pt5ug_OTITcid_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241123_jlb_ABattison_Borniger_Ctrl_1pt5ug_OTITcid_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20250103_jlb_ABattison_Borniger_CT3_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20250103_jlb_ABattison_Borniger_CT3_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20250103_jlb_ABattison_Borniger_CT3_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20241217_jlb_ABattison_Borniger_CG3_GluC_2ug_OTOTetd_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241217_jlb_ABattison_Borniger_CG3_GluC_2ug_OTOTetd_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241217_jlb_ABattison_Borniger_CG3_GluC_2ug_OTOTetd_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20250103_jlb_ABattison_Borniger_CT2_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20250103_jlb_ABattison_Borniger_CT2_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20250103_jlb_ABattison_Borniger_CT2_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20250103_jlb_ABattison_Borniger_CT1_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20250103_jlb_ABattison_Borniger_CT1_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20250103_jlb_ABattison_Borniger_CT1_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20250103_jlb_ABattison_Borniger_AMT2_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20250103_jlb_ABattison_Borniger_AMT2_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20250103_jlb_ABattison_Borniger_AMT2_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20250103_jlb_ABattison_Borniger_TNT1_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20250103_jlb_ABattison_Borniger_TNT1_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20250103_jlb_ABattison_Borniger_TNT1_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20241217_jlb_ABattison_Borniger_TCg2_GluC_80ng_OTOTetd_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241217_jlb_ABattison_Borniger_TCg2_GluC_80ng_OTOTetd_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241217_jlb_ABattison_Borniger_TCg2_GluC_80ng_OTOTetd_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20241217_jlb_ABattison_Borniger_TMg1_GluC_2ug_OTOTetd_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241217_jlb_ABattison_Borniger_TMg1_GluC_2ug_OTOTetd_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241217_jlb_ABattison_Borniger_TMg1_GluC_2ug_OTOTetd_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20250103_jlb_ABattison_Borniger_ANT2_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20250103_jlb_ABattison_Borniger_ANT2_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20250103_jlb_ABattison_Borniger_ANT2_tryp_1pt5ug_120min_OTITcid_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20241217_jlb_ABattison_Borniger_TCg1_GluC_80ng_OTOTetd_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241217_jlb_ABattison_Borniger_TCg1_GluC_80ng_OTOTetd_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241217_jlb_ABattison_Borniger_TCg1_GluC_80ng_OTOTetd_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20241123_jlb_ABattison_Borniger_CtrlUB_1pt5ug_120min_OTITcid_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241123_jlb_ABattison_Borniger_CtrlUB_1pt5ug_120min_OTITcid_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241123_jlb_ABattison_Borniger_CtrlUB_1pt5ug_120min_OTITcid_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20241217_jlb_ABattison_Borniger_CG2_GluC_2ug_OTOTetd_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241217_jlb_ABattison_Borniger_CG2_GluC_2ug_OTOTetd_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241217_jlb_ABattison_Borniger_CG2_GluC_2ug_OTOTetd_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20241007_jlb_ABattison_Borniger_ApexMemB_2ug_120min_OTOTetd_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241007_jlb_ABattison_Borniger_ApexMemB_2ug_120min_OTOTetd_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241007_jlb_ABattison_Borniger_ApexMemB_2ug_120min_OTOTetd_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
20241123_jlb_ABattison_Borniger_TurboCytUB_1pt5ug_120min_OTITcid_Wat25cmBEH_1	Homo sapiens	Cell culture	not available	not available	not available	1	20241123_jlb_ABattison_Borniger_TurboCytUB_1pt5ug_120min_OTITcid_Wat25cmBEH_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	1	1	20241123_jlb_ABattison_Borniger_TurboCytUB_1pt5ug_120min_OTITcid_Wat25cmBEH_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Cell culture
