source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20130123_NO_qe2g140_011123r_pIP12_16	Homo sapiens	T cell	not applicable	Acute leukemia	16	20130123_NO_qe2g140_011123r_pIP12_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20130123_NO_qe2g140_011123r_pIP12_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001129/20130123_NO_qe2g140_011123r_pIP12_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20130128_NO_qe2g140_011123r_pIP13_7	Homo sapiens	T cell	not applicable	Acute leukemia	7	20130128_NO_qe2g140_011123r_pIP13_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20130128_NO_qe2g140_011123r_pIP13_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001129/20130128_NO_qe2g140_011123r_pIP13_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20130123NO_va2g140_0121a25r_pIP13_TiO2_3	Homo sapiens	T cell	not applicable	Acute leukemia	3	20130123NO_va2g140_0121a25r_pIP13_TiO2_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20130123NO_va2g140_0121a25r_pIP13_TiO2_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001129/20130123NO_va2g140_0121a25r_pIP13_TiO2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20130128_NO_qe2g140_011123r_pIP13_4	Homo sapiens	T cell	not applicable	Acute leukemia	4	20130128_NO_qe2g140_011123r_pIP13_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20130128_NO_qe2g140_011123r_pIP13_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001129/20130128_NO_qe2g140_011123r_pIP13_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20130123_NO_qe2g140_011123r_pIP12_7	Homo sapiens	T cell	not applicable	Acute leukemia	7	20130123_NO_qe2g140_011123r_pIP12_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20130123_NO_qe2g140_011123r_pIP12_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001129/20130123_NO_qe2g140_011123r_pIP12_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20130123NO_va2g140_0121a25r_pIP13_TiO2_5	Homo sapiens	T cell	not applicable	Acute leukemia	5	20130123NO_va2g140_0121a25r_pIP13_TiO2_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20130123NO_va2g140_0121a25r_pIP13_TiO2_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001129/20130123NO_va2g140_0121a25r_pIP13_TiO2_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20130128_NO_qe2g140_011123r_pIP13_11	Homo sapiens	T cell	not applicable	Acute leukemia	11	20130128_NO_qe2g140_011123r_pIP13_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20130128_NO_qe2g140_011123r_pIP13_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001129/20130128_NO_qe2g140_011123r_pIP13_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20130128_NO_qe2g140_011123r_pIP13_9	Homo sapiens	T cell	not applicable	Acute leukemia	9	20130128_NO_qe2g140_011123r_pIP13_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20130128_NO_qe2g140_011123r_pIP13_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001129/20130128_NO_qe2g140_011123r_pIP13_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20130123NO_va2g140_0121a25r_pIP13_TiO2_7	Homo sapiens	T cell	not applicable	Acute leukemia	7	20130123NO_va2g140_0121a25r_pIP13_TiO2_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20130123NO_va2g140_0121a25r_pIP13_TiO2_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001129/20130123NO_va2g140_0121a25r_pIP13_TiO2_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
20130122NO_va2g140_0121a25r_pIP12_TiO2_3A	Homo sapiens	T cell	not applicable	Acute leukemia	1	20130122NO_va2g140_0121a25r_pIP12_TiO2_3A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	20130122NO_va2g140_0121a25r_pIP12_TiO2_3A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001129/20130122NO_va2g140_0121a25r_pIP12_TiO2_3A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	T cell
