source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
OE1555	Campylobacter jejuni	not available	1	OE1555	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 240;AC=MS:1003097	NT=Trypsin;AC=MS:1001251	1	1	OE1555.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
OE1558	Campylobacter jejuni	not available	1	OE1558	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 240;AC=MS:1003097	NT=Trypsin;AC=MS:1001251	1	1	OE1558.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
OE1557	Campylobacter jejuni	not available	1	OE1557	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 240;AC=MS:1003097	NT=Trypsin;AC=MS:1001251	1	1	OE1557.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
OE1561	Campylobacter jejuni	not available	1	OE1561	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 240;AC=MS:1003097	NT=Trypsin;AC=MS:1001251	1	1	OE1561.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
OE1554	Campylobacter jejuni	not available	1	OE1554	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 240;AC=MS:1003097	NT=Trypsin;AC=MS:1001251	1	1	OE1554.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
OE1549	Campylobacter jejuni	not available	1	OE1549	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 240;AC=MS:1003097	NT=Trypsin;AC=MS:1001251	1	1	OE1549.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
OE1547	Campylobacter jejuni	not available	1	OE1547	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 240;AC=MS:1003097	NT=Trypsin;AC=MS:1001251	1	1	OE1547.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
OE1546	Campylobacter jejuni	not available	1	OE1546	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 240;AC=MS:1003097	NT=Trypsin;AC=MS:1001251	1	1	OE1546.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
OE1556	Campylobacter jejuni	not available	1	OE1556	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 240;AC=MS:1003097	NT=Trypsin;AC=MS:1001251	1	1	OE1556.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
OE1562	Campylobacter jejuni	not available	1	OE1562	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 240;AC=MS:1003097	NT=Trypsin;AC=MS:1001251	1	1	OE1562.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
OE1559	Campylobacter jejuni	not available	1	OE1559	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 240;AC=MS:1003097	NT=Trypsin;AC=MS:1001251	1	1	OE1559.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not available
