source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[strain or breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
02-23_PO	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=cardiac hypertrophy;AC=EFO:0002503	NT=adult;AC=EFO:0001272	not available	not available	not available	02-23	tissue	1	transverse aortic constriction (pressure overload)	not available	02-23_210525125401_PO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	1	1	02-23_210525125401_PO.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	transverse aortic constriction (pressure overload)
02-23_PO	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=cardiac hypertrophy;AC=EFO:0002503	NT=adult;AC=EFO:0001272	not available	not available	not available	02-23	tissue	1	transverse aortic constriction (pressure overload)	not available	02-23_PO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	1	2	02-23_PO.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	transverse aortic constriction (pressure overload)
02-24_PO	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=cardiac hypertrophy;AC=EFO:0002503	NT=adult;AC=EFO:0001272	not available	not available	not available	02-24	tissue	2	transverse aortic constriction (pressure overload)	not available	02-24_210525210652_PO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	1	1	02-24_210525210652_PO.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	transverse aortic constriction (pressure overload)
02-24_PO	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=cardiac hypertrophy;AC=EFO:0002503	NT=adult;AC=EFO:0001272	not available	not available	not available	02-24	tissue	2	transverse aortic constriction (pressure overload)	not available	02-24_PO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	1	2	02-24_PO.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	transverse aortic constriction (pressure overload)
03-15_PO	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=cardiac hypertrophy;AC=EFO:0002503	NT=adult;AC=EFO:0001272	not available	not available	not available	03-15	tissue	3	transverse aortic constriction (pressure overload)	not available	03-15_210524202832__PO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	1	1	03-15_210524202832__PO.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	transverse aortic constriction (pressure overload)
03-15_PO	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=cardiac hypertrophy;AC=EFO:0002503	NT=adult;AC=EFO:0001272	not available	not available	not available	03-15	tissue	3	transverse aortic constriction (pressure overload)	not available	03-15__PO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	1	2	03-15__PO.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	transverse aortic constriction (pressure overload)
03-16_PO	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=cardiac hypertrophy;AC=EFO:0002503	NT=adult;AC=EFO:0001272	not available	not available	not available	03-16	tissue	4	transverse aortic constriction (pressure overload)	not available	03-16_210525044124_PO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	1	1	03-16_210525044124_PO.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	transverse aortic constriction (pressure overload)
03-16_PO	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=cardiac hypertrophy;AC=EFO:0002503	NT=adult;AC=EFO:0001272	not available	not available	not available	03-16	tissue	4	transverse aortic constriction (pressure overload)	not available	03-16_PO	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	1	2	03-16_PO.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	transverse aortic constriction (pressure overload)
03-18_SHAM	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	not available	not available	03-18	tissue	1	sham surgery	not available	03-18_210523113747_SHAM	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	1	1	03-18_210523113747_SHAM.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	sham surgery
03-18_SHAM	NT=Mus musculus;AC=NCBITaxon:10090	NT=heart;AC=UBERON:0000948	not available	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	not available	not available	not available	03-18	tissue	1	sham surgery	not available	03-18_SHAM	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	1	2	03-18_SHAM.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	sham surgery
