source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
ID116841_01_Open_SPD30_OA10034_10553_080824	Homo sapiens	Not available	not available	not available	not available	1	ID116841_01_Open_SPD30_OA10034_10553_080824	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	ID116841_01_Open_SPD30_OA10034_10553_080824.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
ID116844_01_Open_SPD30_OA10034_10553_080824	Homo sapiens	Not available	not available	not available	not available	1	ID116844_01_Open_SPD30_OA10034_10553_080824	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	ID116844_01_Open_SPD30_OA10034_10553_080824.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
ID116845_01_Open_SPD30_OA10034_10553_080824	Homo sapiens	Not available	not available	not available	not available	1	ID116845_01_Open_SPD30_OA10034_10553_080824	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	ID116845_01_Open_SPD30_OA10034_10553_080824.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
ID117134_01_Open_SPD30_OA10034_10553_080824	Homo sapiens	Not available	not available	not available	not available	1	ID117134_01_Open_SPD30_OA10034_10553_080824	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	ID117134_01_Open_SPD30_OA10034_10553_080824.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
ID116844_01_Phos_SPD30_OA10034_10553_080824	Homo sapiens	Not available	not available	not available	not available	1	ID116844_01_Phos_SPD30_OA10034_10553_080824	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	ID116844_01_Phos_SPD30_OA10034_10553_080824.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
ID116843_01_Open_SPD30_OA10034_10553_080824	Homo sapiens	Not available	not available	not available	not available	1	ID116843_01_Open_SPD30_OA10034_10553_080824	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	ID116843_01_Open_SPD30_OA10034_10553_080824.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
ID116840_01_Open_SPD30_OA10034_10553_080824	Homo sapiens	Not available	not available	not available	not available	1	ID116840_01_Open_SPD30_OA10034_10553_080824	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	ID116840_01_Open_SPD30_OA10034_10553_080824.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
ID116841_01_Phos_SPD30_OA10034_10553_080824	Homo sapiens	Not available	not available	not available	not available	1	ID116841_01_Phos_SPD30_OA10034_10553_080824	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	ID116841_01_Phos_SPD30_OA10034_10553_080824.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
ID117134_01_Phos_SPD30_OA10034_10553_080824	Homo sapiens	Not available	not available	not available	not available	1	ID117134_01_Phos_SPD30_OA10034_10553_080824	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	ID117134_01_Phos_SPD30_OA10034_10553_080824.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
ID116843_01_Phos_SPD30_OA10034_10553_080824	Homo sapiens	Not available	not available	not available	not available	1	ID116843_01_Phos_SPD30_OA10034_10553_080824	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	1	1	ID116843_01_Phos_SPD30_OA10034_10553_080824.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	Not available
