source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
PXD024525-Sample-1	Mus musculus	heart	not available	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-2	Mus musculus	heart	not available	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-3	Mus musculus	heart	not available	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-4	Mus musculus	heart	not available	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-5	Mus musculus	heart	not available	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-6	Mus musculus	heart	not available	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-7	Mus musculus	heart	not available	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-8	Mus musculus	heart	not available	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-9	Mus musculus	heart	not available	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD024525-Sample-10	Mus musculus	heart	not available	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	1	1	20151130_QE7_UPLC11_NL_Heart_Failure_Mouse_Heart_01_Left_Ventricle_Fraction_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
